C:\Users\isaak\Desktop\Maestria\IMG\center_2023_06_24_21_29_56_352.jpg,C:\Users\isaak\Desktop\Maestria\IMG\left_2023_06_24_21_29_56_352.jpg,C:\Users\isaak\Desktop\Maestria\IMG\right_2023_06_24_21_29_56_352.jpg,0,1,0,25.77211
C:\Users\isaak\Desktop\Maestria\IMG\center_2023_06_24_21_29_56_419.jpg,C:\Users\isaak\Desktop\Maestria\IMG\left_2023_06_24_21_29_56_419.jpg,C:\Users\isaak\Desktop\Maestria\IMG\right_2023_06_24_21_29_56_419.jpg,-0.2,1,0,26.51369
C:\Users\isaak\Desktop\Maestria\IMG\center_2023_06_24_21_29_56_494.jpg,C:\Users\isaak\Desktop\Maestria\IMG\left_2023_06_24_21_29_56_494.jpg,C:\Users\isaak\Desktop\Maestria\IMG\right_2023_06_24_21_29_56_494.jpg,0,1,0,27.20464
C:\Users\isaak\Desktop\Maestria\IMG\center_2023_06_24_21_29_56_565.jpg,C:\Users\isaak\Desktop\Maestria\IMG\left_2023_06_24_21_29_56_565.jpg,C:\Users\isaak\Desktop\Maestria\IMG\right_2023_06_24_21_29_56_565.jpg,0,1,0,27.76302
C:\Users\isaak\Desktop\Maestria\IMG\center_2023_06_24_21_29_56_642.jpg,C:\Users\isaak\Desktop\Maestria\IMG\left_2023_06_24_21_29_56_642.jpg,C:\Users\isaak\Desktop\Maestria\IMG\right_2023_06_24_21_29_56_642.jpg,0,1,0,28.50496
C:\Users\isaak\Desktop\Maestria\IMG\center_2023_06_24_21_29_56_714.jpg,C:\Users\isaak\Desktop\Maestria\IMG\left_2023_06_24_21_29_56_714.jpg,C:\Users\isaak\Desktop\Maestria\IMG\right_2023_06_24_21_29_56_714.jpg,-0.15,1,0,29.23701
C:\Users\isaak\Desktop\Maestria\IMG\center_2023_06_24_21_29_56_782.jpg,C:\Users\isaak\Desktop\Maestria\IMG\left_2023_06_24_21_29_56_782.jpg,C:\Users\isaak\Desktop\Maestria\IMG\right_2023_06_24_21_29_56_782.jpg,-0.3,1,0,29.74734
C:\Users\isaak\Desktop\Maestria\IMG\center_2023_06_24_21_29_56_852.jpg,C:\Users\isaak\Desktop\Maestria\IMG\left_2023_06_24_21_29_56_852.jpg,C:\Users\isaak\Desktop\Maestria\IMG\right_2023_06_24_21_29_56_852.jpg,-0.45,1,0,30.14962
C:\Users\isaak\Desktop\Maestria\IMG\center_2023_06_24_21_29_56_921.jpg,C:\Users\isaak\Desktop\Maestria\IMG\left_2023_06_24_21_29_56_921.jpg,C:\Users\isaak\Desktop\Maestria\IMG\right_2023_06_24_21_29_56_921.jpg,0,1,0,30.18532
C:\Users\isaak\Desktop\Maestria\IMG\center_2023_06_24_21_29_56_989.jpg,C:\Users\isaak\Desktop\Maestria\IMG\left_2023_06_24_21_29_56_989.jpg,C:\Users\isaak\Desktop\Maestria\IMG\right_2023_06_24_21_29_56_989.jpg,0,1,0,30.18892
